Date,Close
8/10/15,210.57
8/11/15,208.67
8/12/15,208.92
8/13/15,208.66
8/14/15,209.42
8/17/15,210.59
8/18/15,209.98
8/19/15,208.32
8/20/15,203.97
8/21/15,197.63
8/24/15,189.55
8/25/15,187.27
8/26/15,194.46
8/27/15,199.27
8/28/15,199.28
8/31/15,197.67
9/1/15,191.77
9/2/15,195.41
9/3/15,195.55
9/4/15,192.59
9/8/15,197.43
9/9/15,194.79
9/10/15,195.85
9/11/15,196.74
9/14/15,196.01
9/15/15,198.46
9/16/15,200.18
9/17/15,199.73
9/18/15,195.45
9/21/15,196.46
9/22/15,193.91
9/23/15,193.6
9/24/15,192.9
9/25/15,192.85
9/28/15,188.01
9/29/15,188.12
9/30/15,191.63
10/1/15,192.13
10/2/15,195
10/5/15,198.47
10/6/15,197.79
10/7/15,199.41
10/8/15,201.21
10/9/15,201.33
10/12/15,201.52
10/13/15,200.25
10/14/15,199.29
10/15/15,202.35
10/16/15,203.27
10/19/15,203.37
10/20/15,203.09
10/21/15,201.85
10/22/15,205.26
10/23/15,207.51
10/26/15,207
10/27/15,206.6
10/28/15,208.95
10/29/15,208.83
10/30/15,207.93
11/2/15,210.39
11/3/15,211
11/4/15,210.36
11/5/15,210.15
11/6/15,210.04
11/9/15,208.08
11/10/15,208.56
11/11/15,207.74
11/12/15,204.84
11/13/15,202.54
11/16/15,205.62
11/17/15,205.47
11/18/15,208.73
11/19/15,208.55
11/20/15,209.31
11/23/15,209.07
11/24/15,209.35
11/25/15,209.32
11/27/15,209.56
11/30/15,208.69
12/1/15,210.68
12/2/15,208.53
12/3/15,205.61
12/4/15,209.62
12/7/15,208.35
12/8/15,206.95
12/9/15,205.34
12/10/15,205.87
12/11/15,201.88
12/14/15,202.9
12/15/15,205.03
12/16/15,208.03
12/17/15,204.86
12/18/15,200.02
12/21/15,201.67
12/22/15,203.5
12/23/15,206.02
12/24/15,205.68
12/28/15,205.21
12/29/15,207.4
12/30/15,205.93
12/31/15,203.87
1/4/16,201.02
1/5/16,201.36
1/6/16,198.82
1/7/16,194.05
1/8/16,191.92
1/11/16,192.11
1/12/16,193.66
1/13/16,188.83
1/14/16,191.93
1/15/16,187.81
1/19/16,188.06
1/20/16,185.65
1/21/16,186.69
1/22/16,190.52
1/25/16,187.64
1/26/16,190.2
1/27/16,188.13
1/28/16,189.11
1/29/16,193.72
2/1/16,193.65
2/2/16,190.16
2/3/16,191.3
2/4/16,191.6
2/5/16,187.95
2/8/16,185.42
2/9/16,185.43
2/10/16,185.27
2/11/16,182.86
2/12/16,186.63
2/16/16,189.78
2/17/16,192.88
2/18/16,192.09
2/19/16,192
2/22/16,194.78
2/23/16,192.32
2/24/16,193.2
2/25/16,195.54
