Date,Close
8/11/15,19.16
8/12/15,19.07
8/13/15,18.88
8/14/15,18.87
8/17/15,18.91
8/18/15,19.02
8/19/15,19.01
8/20/15,18.83
8/21/15,18.37
8/24/15,17.7
8/25/15,17.65
8/26/15,17.93
8/27/15,18.39
8/28/15,18.51
8/31/15,18.42
9/1/15,18.19
9/2/15,18.44
9/3/15,18.67
9/4/15,18.59
9/7/15,18.79
9/8/15,18.78
9/9/15,18.82
9/10/15,18.65
9/11/15,18.65
9/14/15,18.7
9/15/15,18.46
9/16/15,18.58
9/17/15,18.63
9/18/15,18.57
9/21/15,18.35
9/22/15,18.57
9/23/15,18.35
9/24/15,18.49
9/25/15,18.5
9/28/15,18.47
9/29/15,18.26
9/30/15,18.32
10/1/15,18.51
10/2/15,18.49
10/5/15,18.68
10/6/15,18.72
10/7/15,18.6
10/8/15,18.66
10/9/15,18.72
10/12/15,18.5
10/13/15,18.59
10/14/15,18.66
10/15/15,18.47
10/16/15,18.75
10/19/15,18.77
10/20/15,18.89
10/21/15,18.85
10/22/15,18.89
10/23/15,19.28
10/26/15,19.32
10/27/15,19.39
10/28/15,19.72
10/29/15,19.89
10/30/15,20
11/2/15,19.67
11/3/15,19.7
11/4/15,19.8
11/5/15,19.89
11/6/15,19.89
11/9/15,20.12
11/10/15,19.86
11/11/15,19.88
11/12/15,19.67
11/13/15,19.37
11/16/15,19.04
11/17/15,19.56
11/18/15,19.53
11/19/15,19.66
11/20/15,19.58
11/23/15,19.74
11/24/15,19.64
11/25/15,19.4
11/26/15,19.57
11/27/15,19.65
11/30/15,19.62
12/1/15,19.52
12/2/15,19.43
12/3/15,19.33
12/4/15,19.12
12/7/15,19.34
12/8/15,19.54
12/9/15,19.45
12/10/15,19.14
12/11/15,19.26
12/14/15,19.09
12/15/15,19
12/16/15,19.39
12/17/15,19.49
12/18/15,19.34
12/21/15,19.08
12/22/15,19.07
12/23/15,19.14
12/24/15,19.3
12/29/15,19.19
12/30/15,19.35
12/31/15,19.22
1/4/16,19.03
1/5/16,19.06
1/6/16,19.03
1/7/16,18.97
1/8/16,18.79
1/11/16,18.65
1/12/16,18.65
1/13/16,18.87
1/14/16,18.64
1/15/16,18.74
1/18/16,18.51
1/19/16,18.71
1/20/16,18.35
1/21/16,18.39
1/22/16,18.24
1/25/16,18.62
1/27/16,18.5
1/28/16,18.36
1/29/16,18.35
2/1/16,18.77
2/2/16,18.72
2/3/16,18.65
2/4/16,18.44
2/5/16,18.2
2/8/16,18.22
2/9/16,17.98
2/10/16,17.92
2/11/16,17.88
2/12/16,17.81
2/15/16,18.03
2/16/16,18.26
2/17/16,18.34
2/18/16,18.48
2/19/16,18.57
2/22/16,18.53
2/23/16,18.32
2/24/16,18.27
2/25/16,18.5
2/26/16,18.53
2/29/16,18.49
3/1/16,18.49
3/2/16,18.81
3/3/16,18.54
3/4/16,18.32
3/7/16,18.3
3/8/16,18.21
3/9/16,18.18
3/10/16,18.13
3/11/16,18.17
3/14/16,18.08
3/15/16,18.31
3/16/16,18.42
3/17/16,18.26
3/18/16,18.16
3/21/16,18.29
3/22/16,18.35
3/23/16,18.2
3/24/16,18.45
3/29/16,18.35
3/30/16,18.42
3/31/16,18.35
4/1/16,18.28
4/4/16,18.45
4/5/16,18.44
4/6/16,18.52
4/7/16,18.51
4/8/16,18.58
4/11/16,18.5
4/12/16,18.28
4/13/16,18.41
4/14/16,18.57
4/15/16,18.45
4/18/16,18.41
4/19/16,18.37
4/20/16,18.39
4/21/16,18.42
4/22/16,18.41
4/26/16,18.38
4/27/16,18.54
4/28/16,18.52
4/29/16,18.29
5/2/16,18.33
5/3/16,18.54
5/4/16,18.53
5/5/16,18.5
5/6/16,18.63
5/9/16,18.9
5/10/16,19.04
5/11/16,18.97
5/12/16,18.96
5/13/16,18.97
5/16/16,18.96
5/17/16,18.97
5/18/16,18.9
5/19/16,19.08
5/20/16,19.09
5/23/16,19.09
5/24/16,19.17
5/25/16,19.49
5/26/16,19.5
5/27/16,19.51
5/30/16,19.75
5/31/16,19.55
6/1/16,19.37
6/2/16,19.36
6/3/16,19.43
6/6/16,19.18
6/7/16,19
6/8/16,19.02
6/9/16,19.02
6/10/16,19.07
6/14/16,18.66
6/15/16,18.64
6/16/16,18.54
6/17/16,18.72
6/20/16,18.73
6/21/16,18.71
6/22/16,18.76
6/23/16,18.66
6/24/16,17.85
6/27/16,18.04
6/28/16,18.1
6/29/16,18.39
6/30/16,18.59
7/1/16,18.27
7/4/16,18.28
7/5/16,18.15
7/6/16,18.18
7/7/16,18.1
7/8/16,18.14
7/11/16,18.34
7/12/16,18.35
7/13/16,18.39
7/14/16,18.38
7/15/16,18.35
7/18/16,18.51
7/19/16,18.7
7/20/16,18.75
7/21/16,18.97
7/22/16,18.85
7/25/16,18.9
7/26/16,18.8
7/27/16,19
7/28/16,18.9
7/29/16,18.96
8/1/16,18.81
8/2/16,18.99
8/3/16,18.74
8/4/16,18.7
8/5/16,18.61
8/8/16,18.86
8/9/16,18.73
8/10/16,18.6
8/11/16,18.61
8/12/16,18.74
8/15/16,18.8
8/16/16,18.71
8/17/16,18.76
8/18/16,18.67
8/19/16,18.86
8/22/16,18.93
8/23/16,18.88
8/24/16,19
8/25/16,18.81
8/26/16,18.82
8/29/16,18.91
8/30/16,18.97
8/31/16,19.05
9/1/16,18.98
9/2/16,18.88
9/5/16,18.95
9/6/16,18.95
9/7/16,18.86
9/8/16,18.8
9/9/16,18.73
9/12/16,18.47
9/13/16,18.82
9/14/16,18.86
9/15/16,18.85
9/16/16,18.96
9/20/16,18.85
9/21/16,18.87
9/22/16,18.78
9/23/16,18.91
9/26/16,18.79
9/27/16,18.7
9/28/16,18.6
9/29/16,18.75
9/30/16,18.64
10/3/16,18.78
10/4/16,18.69
10/5/16,18.73
10/6/16,18.83
10/7/16,18.83
10/10/16,18.76
10/11/16,18.77
10/12/16,18.62
10/13/16,18.44
10/14/16,18.4
10/17/16,18.37
10/18/16,18.28
10/19/16,18.3
10/20/16,18.32
10/21/16,18.32
10/24/16,18.4
10/25/16,18.44
10/26/16,18.14
10/27/16,18.21
10/28/16,18.29
10/31/16,18.2
11/1/16,18.15
11/2/16,17.97
11/3/16,17.85
11/4/16,17.79
11/7/16,17.9
11/8/16,17.98
11/9/16,17.43
11/10/16,18.28
11/11/16,18.27
11/14/16,18.48
11/15/16,18.26
11/16/16,18.34
11/17/16,18.58
11/18/16,18.84
11/21/16,19
11/22/16,18.88
11/23/16,18.88
11/24/16,18.86
11/25/16,18.85
11/28/16,18.84
11/29/16,18.77
11/30/16,18.78
12/1/16,19.59
12/2/16,18.62
12/5/16,18.51
12/6/16,18.68
12/7/16,18.79
12/8/16,18.91
12/9/16,18.9
12/12/16,19.11
12/13/16,18.99
12/14/16,19.22
12/15/16,19.26
12/16/16,19.48
12/19/16,19.65
12/20/16,19.74
12/21/16,19.77
12/22/16,19.65
12/23/16,19.71
12/28/16,19.77
12/29/16,19.75
12/30/16,19.74
1/3/17,19.69
1/4/17,19.75
1/5/17,19.63
1/6/17,19.6
1/9/17,19.72
1/10/17,19.52
1/11/17,19.54
1/12/17,19.34
1/13/17,19.22
1/16/17,19.31
1/17/17,19.08
1/18/17,19.01
1/19/17,19
1/20/17,19.03
1/23/17,19.03
1/24/17,19.03
1/25/17,19.19
1/27/17,19.32
1/30/17,19.29
1/31/17,19.15
2/1/17,19.18
2/2/17,18.89
2/3/17,18.9
2/6/17,19.06
2/7/17,18.94
2/8/17,19.07
2/9/17,19.24
2/10/17,19.23
2/13/17,19.3
2/14/17,19.3
2/15/17,19.38
2/16/17,19.38
2/17/17,19.43
2/20/17,19.63
2/21/17,19.63
2/22/17,19.61
2/23/17,19.59
2/24/17,19.57
2/27/17,19.71
2/28/17,19.7
3/1/17,19.77
3/2/17,19.91
3/3/17,20.07
3/6/17,20.05
3/7/17,19.94
3/8/17,19.87
3/9/17,20.18
3/10/17,20.26
3/13/17,20.15
3/14/17,20.21
3/15/17,20.19
3/16/17,20.06
3/17/17,20.02
3/20/17,19.9
3/21/17,20.05
3/22/17,19.89
3/23/17,20.03
3/24/17,20.06
3/27/17,19.97
3/28/17,20.18
3/29/17,20.13
3/30/17,20.12
3/31/17,20.12
4/3/17,20.28
4/4/17,20.25
4/5/17,20.01
4/6/17,20.28
4/7/17,20.36
4/10/17,20.28
4/11/17,20.4
4/12/17,20.49
4/13/17,20.15
4/18/17,20.35
4/19/17,20.38
4/20/17,20.37
4/21/17,20.5
4/24/17,20.62
4/26/17,20.91
4/27/17,20.81
4/28/17,20.98
5/1/17,20.98
5/2/17,20.81
5/3/17,20.99
5/4/17,21.24
5/5/17,21.49
5/8/17,21.55
5/9/17,21.68
5/10/17,21.67
5/11/17,21.61
5/12/17,21.52
5/15/17,21.57
5/16/17,21.54
5/17/17,21.54
5/18/17,21.2
5/19/17,21.27
5/22/17,21.48
5/23/17,21.39
5/24/17,21.52
5/25/17,21.47
5/26/17,21.66
5/29/17,21.68
5/30/17,21.64
5/31/17,21.66
6/1/17,21.85
6/2/17,22.01
6/5/17,21.9
6/6/17,21.75
6/7/17,21.62
6/8/17,21.57
6/9/17,21.5
6/13/17,21.29
6/14/17,21.35
6/15/17,21.18
6/16/17,21.28
6/19/17,21.23
6/20/17,21.42
6/21/17,21.4
6/22/17,21.44
6/23/17,21.44
6/26/17,21.4
6/27/17,21.37
6/28/17,21.19
6/29/17,21.21
6/30/17,20.86
7/3/17,20.34
7/4/17,20.34
7/5/17,20.38
7/6/17,20.47
7/7/17,20.3
7/10/17,20.41
7/11/17,20.34
7/12/17,20.27
7/13/17,20.26
7/14/17,20.2
7/17/17,20.2
7/18/17,19.99
7/19/17,19.9
7/20/17,19.94
7/21/17,20.13
7/24/17,20
7/25/17,19.9
7/26/17,20
7/27/17,19.67
7/28/17,19.66
7/31/17,19.62
8/1/17,19.63
8/2/17,19.84
8/3/17,19.87
8/4/17,19.81
8/7/17,19.92
8/8/17,19.95
8/9/17,19.96
8/10/17,20.02
8/11/17,19.75
8/14/17,19.8
8/15/17,20.08
8/16/17,20.06
8/17/17,19.86
8/18/17,19.74
8/21/17,19.59
8/22/17,19.62
8/23/17,19.87
8/24/17,19.8
8/25/17,19.82
8/28/17,19.7
8/29/17,19.69
8/30/17,19.68
8/31/17,19.96
9/1/17,20
9/4/17,19.85
9/5/17,19.86
9/6/17,19.79
9/7/17,19.81
9/8/17,19.61
9/11/17,19.84
9/12/17,20.04
9/13/17,20.03
9/14/17,20.04
9/15/17,20.06
9/18/17,20.13
9/19/17,20.22
9/20/17,20.1
9/21/17,20.22
9/22/17,20.24
9/25/17,20.2
9/26/17,20.24
9/27/17,20.45
9/28/17,20.57
9/29/17,20.52
10/2/17,20.62
10/3/17,20.76
10/4/17,20.68
10/5/17,20.78
10/6/17,21.05
10/9/17,21
10/10/17,21.01
10/11/17,21.08
10/12/17,21.03
10/13/17,21.04
10/16/17,20.98
10/17/17,21.03
10/18/17,21.04
10/19/17,21.07
10/20/17,21.13
10/23/17,21.16
10/24/17,21.17
10/25/17,21.31
10/26/17,21.41
10/27/17,21.64
10/30/17,21.65
10/31/17,21.64
11/1/17,21.77
11/2/17,21.57
11/3/17,21.71
11/6/17,21.81
11/7/17,21.81
11/8/17,21.85
11/9/17,21.84
11/10/17,21.79
11/13/17,21.83
11/14/17,21.85
11/15/17,21.95
11/16/17,21.88
11/17/17,22.11
11/20/17,22.06
11/21/17,22.28
11/22/17,22.32
11/23/17,22.15
11/24/17,22.19
11/27/17,22.25
11/28/17,22.24
11/29/17,22.49
11/30/17,22.35
12/1/17,22.52
12/4/17,22.52
12/5/17,22.21
12/6/17,22.3
12/7/17,22.54
12/8/17,22.66
12/11/17,22.71
12/12/17,22.77
12/13/17,22.57
12/14/17,22.43
12/15/17,22.34
12/18/17,22.59
12/19/17,22.71
12/20/17,22.66
12/21/17,22.58
12/22/17,22.4
12/27/17,22.34
12/28/17,22.19
12/29/17,22.21
1/1/18,22.08
1/2/18,22.08
1/3/18,22.24
1/4/18,22.34
1/5/18,22.39
1/8/18,22.6
1/9/18,22.55
1/10/18,22.7
1/11/18,22.5
1/12/18,22.52
1/15/18,22.63
1/16/18,22.58
1/17/18,22.48
1/18/18,22.72
1/19/18,22.56
1/22/18,22.69
1/23/18,22.9
1/24/18,22.8
1/25/18,22.58
1/29/18,22.76
1/30/18,22.6
1/31/18,22.59
2/1/18,22.73
2/2/18,22.61
2/5/18,22.2
2/6/18,21
2/7/18,21.94
2/8/18,21.93
2/9/18,21.64
2/12/18,21.77
2/13/18,21.76
2/14/18,21.83
2/15/18,22.05
2/16/18,22.25
2/19/18,22.47
2/20/18,22.3
2/21/18,22.27
2/22/18,22.25
2/23/18,22.46
2/26/18,22.6
2/27/18,22.85
2/28/18,22.69
3/1/18,22.62
3/2/18,22.19
3/5/18,22.31
3/6/18,22.52
3/7/18,22.27
3/8/18,22.43
3/9/18,22.64
3/12/18,22.84
3/13/18,22.77
3/14/18,22.62
3/15/18,22.57
3/16/18,22.81
3/19/18,23.04
3/20/18,22.83
3/21/18,22.91
3/22/18,22.67
3/23/18,22.1
3/26/18,21.98
3/27/18,22.48
3/28/18,22.17
3/29/18,22.19
4/3/18,22.02
4/4/18,22.13
4/5/18,22.54
